Timestamp,Live_Rate,Predicted_Rate,Decision,RMSE,MAE,Directional_accuracy,Actual,Error,CorrectDirection,HedgeOutcome,Notes:
28/09/2025 22:56,1.733402669,1.742531944,Wait,0.002272,0.000608,4.15%,1.7333,0.009231944,False,Should've Hedged,
29/09/2025 11:39,1.733402669,1.72841231,Hedge now,0.009891,0.007563,46.85%,1.7316,-0.00318769,True,Profitable,
30/09/2025 11:10,1.731601732,1.725448983,Hedge now,0.002308,0.001032,5.80%,1.7252,0.000248983,True,Profitable,
1/10/2025 15:59,1.725030188,1.760750859,Wait,0.012277,0.009615,50.33%,1.7252,0.03555085899999999,True,Good Wait,
2025-10-02 11:01:58,1.7250301880282906,1.722483113743575,Hedge now,0.009948,0.007603,47.07%
